Film,Critics,Audience,Runtime (min),Rating,Original Language,Distributor
Bugonia,87,84,118,R,English,Focus Features
F1,82,97,155,PG-13,English,Warner Bros. Pictures
Frankenstein,85,94,149,R,English,Netflix
Hamnet,87,93,125,PG-13,English,Focus Features
Marty Supreme,93,82,150,R,English,A24
One Battle After Another,94,85,161,R,English,Warner Bros. Pictures
The Secret Agent,98,82,161,R,Brazilian Portuguese,NEON
Sentimental Value,95,94,133,R,Norwegian,NEON
Sinners,97,96,137,R,English,Warner Bros. Pictures
Train Dreams,94,92,102,PG-13,English,Netflix
Blue Moon,90,75,100,R,English,Sony Pictures Classics
If I Had Legs I’d Kick You,92,79,113,R,English,A24
Song Sung Blue,77,97,132,PG-13,English,Focus Features
Weapons,93,85,128,R,English,New Line Cinema
Arco,92,85,88,PG,French,NEON
Elio,83,89,98,PG,English,Disney/Pixar
KPop Demon Hunters,91,99,99,PG,English,Netflix
Little Amélie or the Character of Rain,98,90,78,PG,French,GKIDS
Zootopia 2,91,95,108,PG,English,Walt Disney Pictures
